Commodity,Location,Output,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2295 Billion,8.8 Million
Housing,RoUS,2276.4 Billion,377.2 K
Wholesale trade,RoUS,2036.2 Billion,5.5 Million
State and local general government,RoUS,1892.5 Billion,4.2 Million
Construction,RoUS,1853.6 Billion,7.5 Million
Other real estate,RoUS,1392.4 Billion,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1310.7 Billion,2.4 Million
Hospitals,RoUS,1136.2 Billion,6.7 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1116.1 Billion,7.6 Million
Other retail,RoUS,1092.2 Billion,6.6 Million
Administrative and support services,RoUS,1023.1 Billion,7.9 Million
Food and beverage and tobacco products,RoUS,961.7 Billion,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,941.2 Billion,2.4 Million
"Other services, except government",RoUS,866.6 Billion,4.7 Million
Food and beverage establishments,RoUS,858.9 Billion,10.6 Million
"Radio, TV, telecommunication",RoUS,730.1 Billion,772.1 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,715.3 Billion,802.3 K
Federal general government (defense),RoUS,694.9 Billion,553.5 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,677.5 Billion,944 K
"Financial investments, exchanges, and advising",RoUS,663.3 Billion,971.6 K
Company and enterprise management,RoUS,647.4 Billion,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,616.6 Billion,866.2 K
Computer programming and systems design,RoUS,576.7 Billion,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,472.6 Billion,865.1 K
Federal general government (nondefense),RoUS,457.9 Billion,1.1 Million
Educational institutions and services,RoUS,395.4 Billion,10.2 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,395.2 Billion,792.5 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,386.3 Billion,116.7 K
Truck transport,RoUS,369.5 Billion,1.4 Million
Legal services,RoUS,367.5 Billion,1.1 Million
"Media, literature, and software",RoUS,348.9 Billion,605.5 K
Machinery (except computers),RoUS,344.5 Billion,951.3 K
"Data processing, internet publishing, and other information services",RoUS,339.8 Billion,593.5 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,329.9 Billion,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,313.9 Billion,877.3 K
"Couriers, messengers, transportation for leisure activities",RoUS,283.8 Billion,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,253.1 Billion,3.3 Million
Food and beverage stores,RoUS,250.2 Billion,2.7 Million
General merchandise stores,RoUS,243.4 Billion,2.7 Million
Vehicles and parts sales,RoUS,235.8 Billion,1.4 Million
Plastics and rubber products,RoUS,234.6 Billion,676.7 K
"Child day care, community food services, housing services, and other relief services",RoUS,234.6 Billion,4 Million
Primary and secondary ferrous and nonferrous metals,RoUS,211.8 Billion,349 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,210 Billion,646.9 K
Unrefined oil and gas,RoUS,204.6 Billion,101.4 K
"Funds, trusts, and financial vehicles",RoUS,191.6 Billion,81.5 K
Paper products and paper production facilities,RoUS,183.5 Billion,349.5 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,169.3 Billion,539.4 K
Warehouses,RoUS,157.3 Billion,1.5 Million
