Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2222460704644,2.2 Trillion,8398655,8.4 Million
Housing,RoUS,2088645616593,2.1 Trillion,359580,359.6 K
Wholesale trade,RoUS,1935329548561,1.9 Trillion,5205698,5.2 Million
State and local general government,RoUS,1821953148820,1.8 Trillion,3838133,3.8 Million
Construction,RoUS,1740635394574,1.7 Trillion,7023741,7 Million
Other real estate,RoUS,1344398747067,1.3 Trillion,1220558,1.2 Million
"Insurance agencies, carriers, and brokerages",RoUS,1275934322041,1.3 Trillion,2258870,2.3 Million
Hospitals,RoUS,1090747373845,1.1 Trillion,6382011,6.4 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1055498747476,1.1 Trillion,7138349,7.1 Million
Other retail,RoUS,1038062436484,1.0 Trillion,6194714,6.2 Million
Administrative and support services,RoUS,963321762680,963.3 Billion,7391447,7.4 Million
Food and beverage and tobacco products,RoUS,944347295681,944.3 Billion,1945917,1.9 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,924117878158,924.1 Billion,2264406,2.3 Million
"Other services, except government",RoUS,821907888527,821.9 Billion,4483766,4.5 Million
Food and beverage establishments,RoUS,807830633446,807.8 Billion,9945697,9.9 Million
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,708798056554,708.8 Billion,785483,785.5 K
"Radio, TV, telecommunication",RoUS,707552238982,707.6 Billion,731034,731 K
Federal general government (defense),RoUS,676054351006,676.1 Billion,527236,527.2 K
"Financial investments, exchanges, and advising",RoUS,665720585540,665.7 Billion,940660,940.7 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,652276451253,652.3 Billion,910903,910.9 K
Company and enterprise management,RoUS,629163280575,629.2 Billion,2137254,2.1 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,615746362569,615.7 Billion,867866,867.9 K
Computer programming and systems design,RoUS,559707959696,559.7 Billion,2464696,2.5 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,452252111503,452.3 Billion,809049,809 K
Federal general government (nondefense),RoUS,441913377529,441.9 Billion,1010180,1 Million
Educational institutions and services,RoUS,386849155113,386.8 Billion,9819722,9.8 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,384473872126,384.5 Billion,746005,746 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,383168298699,383.2 Billion,113665,113.7 K
Truck transport,RoUS,356118854811,356.1 Billion,1397780,1.4 Million
Legal services,RoUS,347047531843,347.0 Billion,1028371,1 Million
"Media, literature, and software",RoUS,340127969551,340.1 Billion,584495,584.5 K
Machinery (except computers),RoUS,338527746633,338.5 Billion,936699,936.7 K
"Data processing, internet publishing, and other information services",RoUS,332373147123,332.4 Billion,578057,578.1 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,328937464657,328.9 Billion,1261404,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,307499480297,307.5 Billion,847026,847 K
"Couriers, messengers, transportation for leisure activities",RoUS,268032125968,268.0 Billion,1632096,1.6 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,244683051090,244.7 Billion,3214591,3.2 Million
Plastics and rubber products,RoUS,232584346524,232.6 Billion,669412,669.4 K
Food and beverage stores,RoUS,231610704148,231.6 Billion,2552590,2.6 Million
"Child day care, community food services, housing services, and other relief services",RoUS,229855150821,229.9 Billion,3898192,3.9 Million
General merchandise stores,RoUS,225987133380,226.0 Billion,2570394,2.6 Million
Housing,US-FL,225114383407,225.1 Billion,20550,20.6 K
Vehicles and parts sales,RoUS,225075802141,225.1 Billion,1272162,1.3 Million
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,214108005448,214.1 Billion,638292,638.3 K
Primary and secondary ferrous and nonferrous metals,RoUS,207203349233,207.2 Billion,349589,349.6 K
Unrefined oil and gas,RoUS,204533189954,204.5 Billion,101405,101.4 K
"Funds, trusts, and financial vehicles",RoUS,186995770552,187.0 Billion,74469,74.5 K
Paper products and paper production facilities,RoUS,180001580706,180.0 Billion,343849,343.8 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,164551843335,164.6 Billion,515802,515.8 K
Warehouses,RoUS,152158100672,152.2 Billion,1413991,1.4 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,141114448688,141.1 Billion,1315118,1.3 Million
Hotels and campgrounds,RoUS,131917205418,131.9 Billion,1306891,1.3 Million
Construction,US-FL,128853605426,128.9 Billion,571710,571.7 K
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,127263359146,127.3 Billion,371586,371.6 K
Wholesale trade,US-FL,124296451439,124.3 Billion,330008,330 K
Waste management and remediation services,RoUS,122752646039,122.8 Billion,473168,473.2 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,122478117812,122.5 Billion,363746,363.7 K
Film and sound-based entertainment,RoUS,122299803811,122.3 Billion,265606,265.6 K
"Performing arts, spectator sports, museums, and related activities",RoUS,117855899532,117.9 Billion,522959,523 K
