Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2309596167137,2.3 Trillion,8835571,8.8 Million
Housing,RoUS,2286039632201,2.3 Trillion,376759,376.8 K
Wholesale trade,RoUS,2038182466939,2.0 Trillion,5473575,5.5 Million
State and local general government,RoUS,1891135814194,1.9 Trillion,4191962,4.2 Million
Construction,RoUS,1840662063679,1.8 Trillion,7461621,7.5 Million
Other real estate,RoUS,1394838075617,1.4 Trillion,1338924,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1342653757977,1.3 Trillion,2417499,2.4 Million
Hospitals,RoUS,1135937491715,1.1 Trillion,6697568,6.7 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1117417964085,1.1 Trillion,7555893,7.6 Million
Other retail,RoUS,1090837829025,1.1 Trillion,6561237,6.6 Million
Administrative and support services,RoUS,1024705217205,1.0 Trillion,7910782,7.9 Million
Food and beverage and tobacco products,RoUS,960239268844,960.2 Billion,1985178,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,944819985395,944.8 Billion,2393743,2.4 Million
"Other services, except government",RoUS,866113358157,866.1 Billion,4744516,4.7 Million
Food and beverage establishments,RoUS,858399285324,858.4 Billion,10554049,10.6 Million
"Radio, TV, telecommunication",RoUS,741037607674,741.0 Billion,773981,774 K
Federal general government (defense),RoUS,695401202509,695.4 Billion,550901,550.9 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,693101279642,693.1 Billion,782777,782.8 K
"Financial investments, exchanges, and advising",RoUS,690261992852,690.3 Billion,988249,988.2 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,675923853135,675.9 Billion,936292,936.3 K
Company and enterprise management,RoUS,653640702317,653.6 Billion,2225178,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,618621593010,618.6 Billion,874439,874.4 K
Computer programming and systems design,RoUS,580427396736,580.4 Billion,2579480,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,474788559891,474.8 Billion,855613,855.6 K
Federal general government (nondefense),RoUS,456988511277,457.0 Billion,1097083,1.1 Million
Educational institutions and services,RoUS,399887697571,399.9 Billion,10197955,10.2 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,392953317530,393.0 Billion,792792,792.8 K
Truck transport,RoUS,367460930870,367.5 Billion,1441251,1.4 Million
Legal services,RoUS,366851915453,366.9 Billion,1112408,1.1 Million
"Media, literature, and software",RoUS,351817979153,351.8 Billion,610556,610.6 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,345769697369,345.8 Billion,105502,105.5 K
Machinery (except computers),RoUS,345312877533,345.3 Billion,955134,955.1 K
"Data processing, internet publishing, and other information services",RoUS,341198281888,341.2 Billion,595228,595.2 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,333720809670,333.7 Billion,1284844,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,316342828465,316.3 Billion,885723,885.7 K
"Couriers, messengers, transportation for leisure activities",RoUS,281315175236,281.3 Billion,1723704,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,256012064781,256.0 Billion,3358260,3.4 Million
Food and beverage stores,RoUS,251137432341,251.1 Billion,2726054,2.7 Million
General merchandise stores,RoUS,241556770433,241.6 Billion,2728361,2.7 Million
"Child day care, community food services, housing services, and other relief services",RoUS,236287067293,236.3 Billion,3983557,4 Million
Vehicles and parts sales,RoUS,235314944108,235.3 Billion,1356749,1.4 Million
Plastics and rubber products,RoUS,234674871648,234.7 Billion,678216,678.2 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,220553242742,220.6 Billion,667284,667.3 K
Primary and secondary ferrous and nonferrous metals,RoUS,212387617610,212.4 Billion,350383,350.4 K
Unrefined oil and gas,RoUS,197937288220,197.9 Billion,95858,95.9 K
"Funds, trusts, and financial vehicles",RoUS,191411998355,191.4 Billion,80895,80.9 K
Paper products and paper production facilities,RoUS,179641818866,179.6 Billion,346516,346.5 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,173031210234,173.0 Billion,542638,542.6 K
Warehouses,RoUS,158063878768,158.1 Billion,1475889,1.5 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,154301293096,154.3 Billion,1440864,1.4 Million
Hotels and campgrounds,RoUS,143138264147,143.1 Billion,1399430,1.4 Million
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,129746233542,129.7 Billion,380975,381 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,127949068192,127.9 Billion,380325,380.3 K
Waste management and remediation services,RoUS,126647805398,126.6 Billion,491387,491.4 K
"Performing arts, spectator sports, museums, and related activities",RoUS,124721688695,124.7 Billion,557092,557.1 K
Air transport,RoUS,124443627160,124.4 Billion,454867,454.9 K
Film and sound-based entertainment,RoUS,123991044728,124.0 Billion,273390,273.4 K
"Wood products (e.g. plywood, veneer)",RoUS,111560317608,111.6 Billion,390885,390.9 K
Other state and local government enterprises including transit and utilities,RoUS,110271035149,110.3 Billion,45632,45.6 K
Well drilling and support activities for mining,RoUS,85082048133,85.1 Billion,212621,212.6 K
Passenger ground transport,RoUS,82487745133,82.5 Billion,618100,618.1 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,77234753782,77.2 Billion,136886,136.9 K
Rail transport,RoUS,71083804825,71.1 Billion,757,757
Federal electric utilities and postal service,RoUS,70287259446,70.3 Billion,501674,501.7 K
Furniture and shelving,RoUS,67387053040,67.4 Billion,346881,346.9 K
Print media and printing support,RoUS,65310670790,65.3 Billion,312924,312.9 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,61590426610,61.6 Billion,452950,452.9 K
Pipeline transport,RoUS,59254275879,59.3 Billion,55160,55.2 K
Textiles and textile-dervied products (except clothes),RoUS,45386938200,45.4 Billion,183959,184 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-LA,40927302631,40.9 Billion,11400,11.4 K
"Water transport (boats, ships, ferries)",RoUS,35324643608,35.3 Billion,56838,56.8 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-LA,32421720358,32.4 Billion,27027,27 K
Construction,US-LA,28826936321,28.8 Billion,137856,137.9 K
Housing,US-LA,27720367799,27.7 Billion,3531,3.5 K
State and local general government,US-LA,25408185806,25.4 Billion,1154,1.2 K
Wholesale trade,US-LA,21443533061,21.4 Billion,62723,62.7 K
Clothing and leather,RoUS,21423193837,21.4 Billion,123172,123.2 K
Hospitals,US-LA,15359508285,15.4 Billion,101396,101.4 K
"Miscellaneous professional, scientific, and technical services",US-LA,14586832863,14.6 Billion,84594,84.6 K
"Insurance agencies, carriers, and brokerages",US-LA,14016242023,14.0 Billion,21955,22 K
"Healthcare professions, laboratories, and ambulances",US-LA,13874035915,13.9 Billion,104867,104.9 K
Other retail,US-LA,13402170975,13.4 Billion,93006,93 K
Food and beverage establishments,US-LA,10997714676,11.0 Billion,158211,158.2 K
"Other services, except government",US-LA,10242641843,10.2 Billion,53825,53.8 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-LA,10203146865,10.2 Billion,14808,14.8 K
Administrative and support services,US-LA,9839782795,9.8 Billion,86452,86.5 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-LA,8355440109,8.4 Billion,17515,17.5 K
"Scrap, used and secondhand goods",RoUS,8212118275,8.2 Billion,22393,22.4 K
Other real estate,US-LA,7231924383,7.2 Billion,12342,12.3 K
Food and beverage and tobacco products,US-LA,7211731156,7.2 Billion,20532,20.5 K
Unrefined oil and gas,US-LA,6638711780,6.6 Billion,6090,6.1 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-LA,6247014605,6.2 Billion,24695,24.7 K
Paper products and paper production facilities,US-LA,5344181134,5.3 Billion,6197,6.2 K
"Couriers, messengers, transportation for leisure activities",US-LA,5099824764,5.1 Billion,28232,28.2 K
Federal general government (defense),US-LA,5075797491,5.1 Billion,4465,4.5 K
General merchandise stores,US-LA,4940229567,4.9 Billion,43759,43.8 K
Legal services,US-LA,4733084547,4.7 Billion,18229,18.2 K
"Water transport (boats, ships, ferries)",US-LA,4553356392,4.6 Billion,9345,9.3 K
"Radio, TV, telecommunication",US-LA,4495392326,4.5 Billion,8240,8.2 K
Educational institutions and services,US-LA,4334302429,4.3 Billion,134067,134.1 K
Company and enterprise management,US-LA,4118297683,4.1 Billion,20237,20.2 K
Truck transport,US-LA,4088069130,4.1 Billion,16211,16.2 K
Federal general government (nondefense),US-LA,3980488723,4.0 Billion,1644,1.6 K
Food and beverage stores,US-LA,3956567659,4.0 Billion,35045,35 K
Fabricated metal products (e.g. architectural and structural metal products),US-LA,3700190330,3.7 Billion,15089,15.1 K
Well drilling and support activities for mining,US-LA,3531951867,3.5 Billion,18415,18.4 K
Machinery (except computers),US-LA,3370122467,3.4 Billion,9388,9.4 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3230858384,3.2 Billion,7756,7.8 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-LA,3103682470,3.1 Billion,4021,4 K
"Nursing, community, mental health, and substance abuse facilities",US-LA,2775935219,2.8 Billion,41543,41.5 K
"Child day care, community food services, housing services, and other relief services",US-LA,2400932707,2.4 Billion,48699,48.7 K
Vehicles and parts sales,US-LA,2345055892,2.3 Billion,20155,20.2 K
Computer programming and systems design,US-LA,2288603264,2.3 Billion,16227,16.2 K
Waste management and remediation services,US-LA,2231194602,2.2 Billion,10426,10.4 K
"Wood products (e.g. plywood, veneer)",US-LA,2081682392,2.1 Billion,7060,7.1 K
Hotels and campgrounds,US-LA,1992735853,2.0 Billion,21143,21.1 K
Plastics and rubber products,US-LA,1976128352,2.0 Billion,4419,4.4 K
"Financial investments, exchanges, and advising",US-LA,1793007148,1.8 Billion,4558,4.6 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-LA,1703706904,1.7 Billion,21428,21.4 K
"Funds, trusts, and financial vehicles",US-LA,1619001645,1.6 Billion,242,242
"Performing arts, spectator sports, museums, and related activities",US-LA,1598311305,1.6 Billion,6598,6.6 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-LA,1465931808,1.5 Billion,5357,5.4 K
Primary and secondary ferrous and nonferrous metals,US-LA,1441382390,1.4 Billion,3393,3.4 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-LA,1279757258,1.3 Billion,7364,7.4 K
Warehouses,US-LA,1241121232,1.2 Billion,8035,8 K
Rail transport,US-LA,1122195175,1.1 Billion,7,7.0
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-LA,1052573390,1.1 Billion,4860,4.9 K
Pipeline transport,US-LA,1003724121,1.0 Billion,2670,2.7 K
Film and sound-based entertainment,US-LA,927955272,928 Million,3205,3.2 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-LA,830789766,830.8 Million,4274,4.3 K
Other state and local government enterprises including transit and utilities,US-LA,819964851,820 Million,59,59.0
"Media, literature, and software",US-LA,768020847,768 Million,3082,3.1 K
"Data processing, internet publishing, and other information services",US-LA,671718112,671.7 Million,3860,3.9 K
"Metal ores, dimensional stone, nonmetallic minerals",US-LA,666246218,666.2 Million,1109,1.1 K
Federal electric utilities and postal service,US-LA,642740554,642.7 Million,6150,6.2 K
Passenger ground transport,US-LA,621254867,621.3 Million,4305,4.3 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-LA,547171535,547.2 Million,2342,2.3 K
Air transport,US-LA,502372840,502.4 Million,2687,2.7 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-LA,419406990,419.4 Million,1499,1.5 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-LA,338766458,338.8 Million,1258,1.3 K
Print media and printing support,US-LA,336329210,336.3 Million,2100,2.1 K
Textiles and textile-dervied products (except clothes),US-LA,273061800,273.1 Million,1242,1.2 K
Furniture and shelving,US-LA,207946960,207.9 Million,1373,1.4 K
"Scrap, used and secondhand goods",US-LA,110881725,110.9 Million,226,226
Clothing and leather,US-LA,70806163,70.8 Million,359,359
Noncomparable imports and rest-of-the-world adjustment,US-LA,28141616,28.1 Million,12,12.0
