Commodity,Location,TotalCommodityOutput,Jobs
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-MS,3.0 Billion,6.0 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-MS,837.1 Million,5.5 K
Unrefined oil and gas,US-MS,604.9 Million,450.0
"Metal ores, dimensional stone, nonmetallic minerals",US-MS,397.2 Million,580.0
Well drilling and support activities for mining,US-MS,330.6 Million,1.6 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-MS,6.2 Billion,10.9 K
Construction,US-MS,8.2 Billion,45.5 K
"Wood products (e.g. plywood, veneer)",US-MS,2.2 Billion,8.8 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-MS,855.4 Million,3.0 K
Primary and secondary ferrous and nonferrous metals,US-MS,2.8 Billion,4.1 K
Fabricated metal products (e.g. architectural and structural metal products),US-MS,2.0 Billion,9.6 K
Machinery (except computers),US-MS,3.1 Billion,10.4 K
"Computers and relevant parts, conductors, measuring devices, communication devices",US-MS,738.1 Million,4.4 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-MS,1.3 Billion,5.9 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-MS,7.4 Billion,11.3 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-MS,2.0 Billion,10.4 K
Furniture and shelving,US-MS,2.1 Billion,15.4 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-MS,757.3 Million,3.2 K
Food and beverage and tobacco products,US-MS,5.7 Billion,24.5 K
Textiles and textile-dervied products (except clothes),US-MS,825.6 Million,1.5 K
Clothing and leather,US-MS,231.6 Million,1.6 K
Paper products and paper production facilities,US-MS,2.0 Billion,3.3 K
Print media and printing support,US-MS,254.5 Million,1.0 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-MS,5.1 Billion,1.9 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-MS,3.8 Billion,9.0 K
Plastics and rubber products,US-MS,2.1 Billion,6.5 K
Wholesale trade,US-MS,10.1 Billion,33.6 K
Vehicles and parts sales,US-MS,1.4 Billion,12.9 K
Food and beverage stores,US-MS,1.8 Billion,16.9 K
General merchandise stores,US-MS,3.2 Billion,30.9 K
Other retail,US-MS,7.9 Billion,59.1 K
Air transport,US-MS,56.7 Million,148.0
Rail transport,US-MS,627.2 Million,0.0
"Water transport (boats, ships, ferries)",US-MS,563.0 Million,1.0 K
Truck transport,US-MS,4.4 Billion,19.3 K
Passenger ground transport,US-MS,175.0 Million,1.9 K
Pipeline transport,US-MS,334.6 Million,952.0
"Couriers, messengers, transportation for leisure activities",US-MS,1.7 Billion,12.4 K
Warehouses,US-MS,1.8 Billion,17.5 K
"Media, literature, and software",US-MS,354.3 Million,1.7 K
Film and sound-based entertainment,US-MS,91.9 Million,617.0
"Radio, TV, telecommunication",US-MS,2.9 Billion,5.6 K
"Data processing, internet publishing, and other information services",US-MS,230.7 Million,1.4 K
