Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2314382706394,2.3 Trillion,8886032,8.9 Million
Housing,RoUS,2299102185409,2.3 Trillion,379643,379.6 K
Wholesale trade,RoUS,2049622767465,2.0 Trillion,5508898,5.5 Million
State and local general government,RoUS,1908988928605,1.9 Trillion,4267666,4.3 Million
Construction,RoUS,1863537724170,1.9 Trillion,7570997,7.6 Million
Other real estate,RoUS,1398311026517,1.4 Trillion,1347392,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1348502826319,1.3 Trillion,2427447,2.4 Million
Hospitals,RoUS,1145377157293,1.1 Trillion,6777945,6.8 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1125296536843,1.1 Trillion,7629153,7.6 Million
Other retail,RoUS,1099053142631,1.1 Trillion,6613953,6.6 Million
Administrative and support services,RoUS,1029641828091,1.0 Trillion,7966388,8 Million
Food and beverage and tobacco products,RoUS,964958712004,965.0 Billion,2000900,2 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,949213420136,949.2 Billion,2411241,2.4 Million
"Other services, except government",RoUS,872608956980,872.6 Billion,4774666,4.8 Million
Food and beverage establishments,RoUS,865004361248,865.0 Billion,10665799,10.7 Million
"Radio, TV, telecommunication",RoUS,743320290172,743.3 Billion,778623,778.6 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,725308776167,725.3 Billion,809420,809.4 K
Federal general government (defense),RoUS,698679774259,698.7 Billion,554624,554.6 K
"Financial investments, exchanges, and advising",RoUS,688272516932,688.3 Billion,986312,986.3 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,683610247603,683.6 Billion,950595,950.6 K
Company and enterprise management,RoUS,655585031115,655.6 Billion,2236741,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,618522610486,618.5 Billion,875004,875 K
Computer programming and systems design,RoUS,579690821521,579.7 Billion,2582513,2.6 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,481710357470,481.7 Billion,870067,870.1 K
Federal general government (nondefense),RoUS,459573667830,459.6 Billion,1112651,1.1 Million
